Class,Precision,Recall,F1-Score,Support
Electronic,0.5064935064935064,0.52,0.5131578947368421,75.0
Experimental,0.44155844155844154,0.4533333333333333,0.4473684210526316,75.0
Folk,0.5042735042735043,0.7866666666666666,0.6145833333333334,75.0
Hip-Hop,0.7012987012987013,0.72,0.7105263157894737,75.0
Pop,0.5517241379310345,0.21333333333333335,0.3076923076923077,75.0
Rock,0.7397260273972602,0.72,0.7297297297297297,75.0
