,Overall,Correct,Incorrect
Mean,0.5448909431364801,0.6135396347963251,0.45430297888431354
Std,0.18871439748243124,0.18613544197622778,0.1502506461749427
Min,0.2116813957691192,0.2168387025594711,0.2116813957691192
Max,0.9805954694747924,0.9805954694747924,0.9211277365684508
